,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_learning_rate,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.45252423286437987,0.26143299200407677,0.0049113273620605465,0.0021813529604590752,gbdt,0.05,100,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multiclass'}",0.9790468343224965,0.9747934757042946,0.9915415946555087,0.9830508474576272,0.991512583461736,0.9839890671203326,0.006685937375763585,43
1,0.6724213600158692,0.1071674921807548,0.005685281753540039,0.0008417599533308215,gbdt,0.05,500,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 500, 'objective': 'multiclass'}",0.983306184221167,0.9747934757042946,0.9915415946555087,0.9872724940718635,0.991512583461736,0.9856852664229139,0.006246032869418682,31
2,2.1723833084106445,2.5143357685663577,0.017693471908569337,0.01089944538035673,gbdt,0.05,1000,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multiclass'}",0.983306184221167,0.9789783925180062,0.9915415946555087,0.9872724940718635,0.991512583461736,0.9865222497856563,0.004856191507753501,20
3,0.37226133346557616,0.22277202394573187,0.003461790084838867,0.0004348767797133026,gbdt,0.1,100,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9830365319637524,0.9872724940718635,0.991512583461736,0.9848208456417975,0.00425264744134793,40
4,0.5845118999481201,0.26697705430059016,0.004838037490844727,0.0010035401070593547,gbdt,0.1,500,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 500, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9915415946555087,0.9830549142531799,0.991512583461736,0.985678342216412,0.005016795293271144,32
5,0.6178820133209229,0.13184348715143582,0.007141399383544922,0.0030701556832332558,gbdt,0.1,1000,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 1000, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9915415946555087,0.9830549142531799,0.991512583461736,0.985678342216412,0.005016795293271144,32
6,0.16710939407348632,0.0876747588798935,0.0029078006744384767,0.00029213499226971344,gbdt,0.2,100,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.2, 'n_estimators': 100, 'objective': 'multiclass'}",0.983306184221167,0.9789764344904692,0.9915415946555087,0.9830508474576272,0.991512583461736,0.9856775288573015,0.005017220868057257,34
7,0.3953393459320068,0.13134083860058476,0.004161739349365234,0.0007021923258147671,gbdt,0.2,500,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.2, 'n_estimators': 500, 'objective': 'multiclass'}",0.9874814208258328,0.9789764344904692,0.9915415946555087,0.9830508474576272,0.991512583461736,0.9865125761782348,0.004899117408353563,23
8,0.38582711219787597,0.08815956983819305,0.005203104019165039,0.0005798388978160179,gbdt,0.2,1000,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.2, 'n_estimators': 1000, 'objective': 'multiclass'}",0.9874814208258328,0.9789764344904692,0.9915415946555087,0.9830508474576272,0.991512583461736,0.9865125761782348,0.004899117408353563,23
9,0.10606184005737304,0.026375784754219134,0.0038057804107666016,0.0015014920048079068,gbdt,0.3,100,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.3, 'n_estimators': 100, 'objective': 'multiclass'}",0.983306184221167,0.9789783925180062,0.9872959190566795,0.9915254237288136,0.991512583461736,0.9865237005972805,0.004853588229558156,18
10,0.15337224006652833,0.002964267125879842,0.004287099838256836,0.0006222572288249159,gbdt,0.3,500,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.3, 'n_estimators': 500, 'objective': 'multiclass'}",0.983306184221167,0.9789783925180062,0.9872959190566795,0.9915254237288136,0.9957605745185628,0.9873732988086458,0.005909456751836998,6
11,0.2929508209228516,0.035353441039248513,0.0072601318359375,0.004868693239380255,gbdt,0.3,1000,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.3, 'n_estimators': 1000, 'objective': 'multiclass'}",0.983306184221167,0.9789783925180062,0.9872959190566795,0.9915254237288136,0.9957605745185628,0.9873732988086458,0.005909456751836998,6
12,0.10394520759582519,0.07801153709491078,0.004192638397216797,0.0014758852121927056,gbdt,0.5,100,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.5, 'n_estimators': 100, 'objective': 'multiclass'}",0.9832220709271624,0.9789764344904692,0.9872959190566795,0.9872724940718635,0.9957605745185628,0.9865054986129476,0.005555847018389506,27
13,0.1682060718536377,0.03691881472550393,0.005974006652832031,0.000907797409649612,gbdt,0.5,500,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.5, 'n_estimators': 500, 'objective': 'multiclass'}",0.9832220709271624,0.9789764344904692,0.9872959190566795,0.9872724940718635,0.9957605745185628,0.9865054986129476,0.005555847018389506,27
14,0.34915733337402344,0.09965609612439266,0.006833887100219727,0.003192481056127501,gbdt,0.5,1000,multiclass,"{'boosting_type': 'gbdt', 'learning_rate': 0.5, 'n_estimators': 1000, 'objective': 'multiclass'}",0.9832220709271624,0.9789764344904692,0.9872959190566795,0.9872724940718635,0.9957605745185628,0.9865054986129476,0.005555847018389506,27
