,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06310029029846191,0.003351059070477118,0.012660598754882813,0.0009621521303362856,0.1,4,rbf,"{'C': 0.1, 'gamma': 4, 'kernel': 'rbf'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
1,0.04646501541137695,0.012482322624930492,0.002510738372802734,0.000350657577868875,0.1,4,poly,"{'C': 0.1, 'gamma': 4, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
2,0.021038389205932616,0.0010341642440266656,0.005755281448364258,0.00018386432734191012,0.1,4,sigmoid,"{'C': 0.1, 'gamma': 4, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
3,0.006896305084228516,0.0003947326542511888,0.0025176048278808595,0.0002958301188173615,0.1,4,linear,"{'C': 0.1, 'gamma': 4, 'kernel': 'linear'}",0.983043066729246,0.9833644799434149,0.9787941974849033,0.9786513735235366,0.9829388738354182,0.9813583983033037,0.0021570110410069577,58
4,0.06322302818298339,0.0005370865782795595,0.0126373291015625,0.00038619634025804304,0.1,2,rbf,"{'C': 0.1, 'gamma': 2, 'kernel': 'rbf'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
5,0.04732346534729004,0.01371483523022157,0.0023999691009521486,0.00016094136390518732,0.1,2,poly,"{'C': 0.1, 'gamma': 2, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
6,0.02143831253051758,0.00033842512134621774,0.006017732620239258,0.0002426281005404875,0.1,2,sigmoid,"{'C': 0.1, 'gamma': 2, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
7,0.007546186447143555,0.0008102458749006183,0.002864503860473633,0.0004365954351068795,0.1,2,linear,"{'C': 0.1, 'gamma': 2, 'kernel': 'linear'}",0.983043066729246,0.9833644799434149,0.9787941974849033,0.9786513735235366,0.9829388738354182,0.9813583983033037,0.0021570110410069577,58
8,0.0630807876586914,0.004696319233453296,0.012423181533813476,0.0006680533955574499,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
9,0.04615006446838379,0.015022858476151493,0.002402591705322266,0.00015314858952746065,0.1,1,poly,"{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
10,0.0204620361328125,0.00029222660918206165,0.005750465393066406,0.00015253657729900704,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
11,0.006601476669311523,0.0003886419303000174,0.002387523651123047,0.00015819269457918237,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.983043066729246,0.9833644799434149,0.9787941974849033,0.9786513735235366,0.9829388738354182,0.9813583983033037,0.0021570110410069577,58
12,0.03625302314758301,0.0024788700015284,0.009779834747314453,0.00046271823301386486,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6160763173853423,0.6744661072777004,0.6399929909519562,0.6801551122804871,0.6274053405552867,0.6476191736901545,0.025459986802960823,162
13,0.04653482437133789,0.01391551590624057,0.002400112152099609,7.502444380274853e-05,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.970567407276268,0.9579828866258241,0.9662737701735382,0.9745062164796832,0.9872349128910092,0.9713130386892643,0.00966794300675679,82
14,0.02082381248474121,0.00031706916001033946,0.006037378311157226,0.0005240419672403608,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.2897734201604839,0.28734726054394955,0.28734726054394955,0.28734726054394955,0.2918447555883076,0.28873199147612805,0.0018180381396586732,187
15,0.006564188003540039,0.00030349643401722575,0.002464914321899414,0.00024006454695115075,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.983043066729246,0.9833644799434149,0.9787941974849033,0.9786513735235366,0.9829388738354182,0.9813583983033037,0.0021570110410069577,58
16,0.01832413673400879,0.0005219343960606564,0.007458639144897461,0.00013063714351130125,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9042972013829359,0.8824192748120047,0.8431031848909575,0.8682541611191252,0.9255381702415602,0.8847223984893166,0.028487773845476565,154
17,0.04274301528930664,0.017970646367527928,0.0022611141204833983,4.621223719765671e-05,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.9788922673503556,0.9579828866258241,0.9745182748599045,0.9745062164796832,0.9915299466436764,0.9754859183918887,0.010744918116176118,70
