,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01658153533935547,0.0019154313904850672,0.003409719467163086,0.0003252996094072946,gini,4,sqrt,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 10}",0.9528182062668875,0.9439792562610675,0.9565809147284382,0.9133047127138796,0.912642945866891,0.9358652071674328,0.019134428869514608,112
1,0.06722407341003418,0.003054442831614677,0.006030607223510742,0.0003418890967550238,gini,4,sqrt,50,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 50}",0.9874304191755192,0.9579247821226085,0.978805275278758,0.9787293211483176,0.9742428741826648,0.9754265343815736,0.009737863464065176,99
2,0.13986058235168458,0.0026716888338589703,0.009690380096435547,0.00040797172933259787,gini,4,sqrt,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",0.9789876049573886,0.9442007311399135,0.9659466827694961,0.9701279155795839,0.9700070463982375,0.965853996168924,0.011635105245479675,110
3,0.27440857887268066,0.01779915687283446,0.017753744125366212,0.0012069240994842818,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.9831716691353871,0.9487282990131003,0.9787611900757198,0.9743712762895052,0.9786228656072772,0.972731060024198,0.012319943227406245,102
4,0.0156832218170166,0.00017083115615683397,0.0032767772674560545,0.0005658280480251578,gini,4,log2,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 10}",0.9706572455517603,0.9664740626605033,0.9701284544852202,0.974724385568527,0.9744607747266533,0.9712889845985329,0.0030591381164609102,106
5,0.06614494323730469,0.0021925217018158127,0.005993080139160156,0.00042815939430431306,gini,4,log2,50,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 50}",0.9832279293252615,0.9442007311399135,0.9700436569080637,0.9743712762895052,0.9742428741826648,0.9692172935690817,0.013225953158989112,108
6,0.1319178581237793,0.005536306330164292,0.009863853454589844,0.0005529277937591849,gini,4,log2,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",0.9789876049573886,0.9528058205468597,0.9873725998085477,0.9699590312882017,0.9697001385895968,0.971765039038119,0.011512939288602175,105
7,0.26412100791931153,0.010070763410197263,0.017010927200317383,0.000377341312336079,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.9832279293252615,0.9487282990131003,0.9915068647143289,0.9654874661729098,0.9742428741826648,0.972638686681653,0.014788916206412957,103
8,0.015150690078735351,0.0003685553518159889,0.00273280143737793,6.575814354453577e-05,gini,5,sqrt,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",0.9746066995900441,0.9670096852300243,0.9577731820144119,0.9830459651120026,0.9620037979823094,0.9688878659857585,0.009028964322360477,109
9,0.0698474407196045,0.006457622782232403,0.005913686752319336,0.0003593448241043896,gini,5,sqrt,50,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50}",0.9874304191755192,0.9624619805976032,0.9874816494122638,0.9831149557830741,0.9741620195491889,0.9789302049035298,0.009558566724600473,90
10,0.1347726821899414,0.0043548729528900335,0.009519481658935547,0.00038268056865167614,gini,5,sqrt,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.9831716691353871,0.9750390624949729,0.9872881355932204,0.9915450390357825,0.9871891613533127,0.9848466135225351,0.005573346581290701,72
11,0.2830075740814209,0.015432169695572972,0.019199323654174805,0.002442824737665183,gini,5,sqrt,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.9874304191755192,0.970582948125321,0.983249470338983,0.9873019222896946,0.9830777334630246,0.9823284986785085,0.0061665555139531715,82
12,0.01610989570617676,0.0005063426752788677,0.003140544891357422,0.000390207025819298,gini,5,log2,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 10}",0.9873307977701031,0.9752555824589723,0.9611628877606865,0.9745762711864406,0.9700308345292529,0.973671274741091,0.00848085100303817,101
13,0.07213587760925293,0.0012617792780048973,0.006361722946166992,0.0004587815560985356,gini,5,log2,50,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}",0.9915675639089775,0.970582948125321,0.9791353817439622,0.9658906593154033,0.9957557038014782,0.9805864513790284,0.011565751478061902,88
14,0.1401693344116211,0.001828441303367711,0.010343408584594727,0.0005355748609922677,gini,5,log2,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.9915675639089775,0.9531975850653783,0.9957627118644068,0.9831795678417901,0.9829563260215611,0.9813327509404228,0.014903754267274649,87
15,0.27547168731689453,0.008286544826081056,0.01856093406677246,0.0036033747106658243,gini,5,log2,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.9874304191755192,0.974827233560224,0.9874283759988236,0.9699590312882017,0.9873293372085311,0.9813948794462599,0.007509476745872155,86
