,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_objective,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.35752196311950685,0.031718730903359624,0.008178043365478515,0.0003988645892153886,0.05,100,multi:softmax,0.1,0.1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.9957772900059964,0.9830924934492874,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9907128762482701,0.004912659550766195,103
1,0.3632045269012451,0.031699405242613776,0.007979774475097656,0.001262220019115978,0.05,100,multi:softmax,0.1,1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9915483540903551,0.0037673591289763913,97
2,0.3784648895263672,0.02930455521571019,0.007682943344116211,0.0006033397329465548,0.05,100,multi:softmax,0.1,1.2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9915483540903551,0.0037673591289763913,97
3,0.398024320602417,0.022388815544366933,0.0076827526092529295,0.0011703463603929638,0.05,100,multi:softmax,0.1,1.4,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9915483540903551,0.0037673591289763913,97
4,0.4060053825378418,0.044034147731968135,0.008377885818481446,0.001017364976805556,0.05,100,multi:softmax,0.1,2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9915483540903551,0.0037673591289763913,97
5,0.3381806373596191,0.01357229793817247,0.008178377151489257,0.000746251075792808,0.05,100,multi:softmax,1,0.1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
6,0.32876386642456057,0.007357151583829038,0.0075814247131347655,0.0007983227212435681,0.05,100,multi:softmax,1,1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
7,0.32298054695129397,0.017374362732488897,0.00877695083618164,0.0017159058806703947,0.05,100,multi:softmax,1,1.2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
8,0.3238783836364746,0.009841869104383005,0.007984399795532227,0.00031855416755000515,0.05,100,multi:softmax,1,1.4,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
9,0.33405365943908694,0.034761502580669124,0.007778835296630859,0.0003993280005523927,0.05,100,multi:softmax,1,2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
10,0.38056492805480957,0.04359283853230841,0.00828104019165039,0.0009770648356285153,0.05,100,multi:softmax,1.2,0.1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
11,0.3151219367980957,0.01694237537124828,0.00777902603149414,0.00039858830889268407,0.05,100,multi:softmax,1.2,1,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
12,0.33361287117004396,0.019825063467269977,0.007778692245483399,0.00039925659256594695,0.05,100,multi:softmax,1.2,1.2,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
13,0.295366907119751,0.010809244076556337,0.007779407501220703,0.0003993754279866259,0.05,100,multi:softmax,1.2,1.4,"{'learning_rate': 0.05, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9957593971670388,0.9831912501793882,0.9907025666863138,0.004902807690904577,104
